 DATE ,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.10.13,1.13571,1.14108,1.13438,1.13782,124917,2.06749E+11,7
2015.10.14,1.13773,1.14889,1.13768,1.1473,138506,2.28096E+11,7
2015.10.15,1.14723,1.14949,1.13629,1.13803,144400,2.35173E+11,7
2015.10.16,1.13819,1.13945,1.13339,1.13474,122270,1.84776E+11,0
2015.10.19,1.13546,1.13788,1.13054,1.13269,124837,1.97187E+11,7
2015.10.20,1.13268,1.13868,1.13237,1.13453,110310,1.84551E+11,7
2015.10.21,1.1343,1.13772,1.13342,1.13382,111411,1.88934E+11,7
2015.10.22,1.13372,1.13507,1.10998,1.11087,150246,2.45739E+11,0
2015.10.23,1.11055,1.11394,1.09963,1.10169,153746,2.39951E+11,0
2015.10.26,1.10071,1.10682,1.10035,1.10529,114119,1.91915E+11,0
2015.10.27,1.10524,1.1078,1.103,1.10462,115382,1.77658E+11,0
2015.10.28,1.10454,1.10955,1.08966,1.09267,128620,2.08717E+11,0
2015.10.29,1.09268,1.09862,1.09026,1.09858,125217,2.05707E+11,0
2015.10.30,1.09858,1.10723,1.09653,1.1005,137706,2.15425E+11,7
2015.11.02,1.10266,1.10527,1.09998,1.1015,109114,1.80151E+11,7
2015.11.03,1.10139,1.10298,1.09357,1.09627,119749,2.00544E+11,0
2015.11.04,1.09626,1.09675,1.08439,1.08653,136540,2.28434E+11,0
2015.11.05,1.08628,1.08972,1.08333,1.08828,133932,2.16939E+11,0
2015.11.06,1.08825,1.08935,1.0707,1.0739,132696,2.02222E+11,0
2015.11.09,1.07283,1.07896,1.07191,1.07499,146695,2.19242E+11,4
2015.11.10,1.075,1.07637,1.0674,1.07227,141813,2.24498E+11,4
2015.11.11,1.07214,1.07733,1.07054,1.07417,131074,1.97648E+11,7
2015.11.12,1.07432,1.08301,1.06906,1.0812,175868,2.6366E+11,7
2015.11.13,1.08103,1.08167,1.07137,1.07668,158760,2.46799E+11,0
2015.11.16,1.07366,1.07578,1.06744,1.06847,148817,2.30762E+11,7
2015.11.17,1.0677,1.06904,1.06305,1.0643,145784,2.37581E+11,0
2015.11.18,1.06413,1.06922,1.06166,1.06583,135966,2.1896E+11,7
